booking_id,guest_id,room_id,check_in,check_out,stay_days,total_amount
1,3408,128,2023-12-01,2023-12-04,3,22500
2,259,120,2023-02-06,2023-02-08,2,20000
3,523,126,2023-12-22,2023-12-27,5,17500
4,2232,138,2023-10-06,2023-10-10,4,30000
5,2210,67,2023-12-08,2023-12-15,7,70000
6,3309,71,2023-04-16,2023-04-22,6,60000
7,2495,160,2023-10-02,2023-10-03,1,7500
8,2786,178,2023-12-11,2023-12-15,4,10000
9,2759,39,2023-10-23,2023-10-28,5,50000
10,2443,70,2023-05-31,2023-06-06,6,15000
11,1094,166,2023-10-14,2023-10-20,6,15000
12,1876,89,2023-11-25,2023-11-26,1,10000
13,1076,33,2023-10-16,2023-10-18,2,5000
14,3311,133,2023-07-14,2023-07-20,6,30000
15,1398,117,2023-12-25,2023-12-26,1,7500
16,1829,64,2023-08-30,2023-09-06,7,52500
17,682,123,2023-12-09,2023-12-13,4,30000
18,82,87,2023-12-05,2023-12-11,6,45000
19,3430,163,2023-08-14,2023-08-18,4,20000
20,2562,94,2023-10-09,2023-10-10,1,7500
21,1851,69,2023-11-22,2023-11-29,7,24500
22,3373,148,2023-12-28,2023-12-29,1,3500
23,3261,91,2023-11-25,2023-11-27,2,15000
24,2541,155,2023-10-17,2023-10-24,7,52500
25,1450,47,2023-09-05,2023-09-08,3,10500
26,2598,197,2023-12-04,2023-12-11,7,24500
27,224,154,2023-06-25,2023-07-02,7,52500
28,3219,137,2023-04-15,2023-04-20,5,50000
29,182,125,2023-09-18,2023-09-22,4,14000
30,2942,3,2023-12-22,2023-12-25,3,22500
31,2145,102,2023-10-26,2023-10-29,3,15000
32,3041,21,2023-08-04,2023-08-11,7,52500
33,1126,46,2023-07-22,2023-07-25,3,30000
34,3236,111,2023-07-10,2023-07-11,1,3500
35,447,99,2023-08-29,2023-09-05,7,24500
36,3484,103,2023-11-14,2023-11-15,1,3500
37,3115,84,2023-11-25,2023-12-02,7,70000
38,1075,130,2023-10-06,2023-10-10,4,40000
39,3008,69,2023-12-18,2023-12-20,2,7000
40,1212,189,2023-02-03,2023-02-05,2,10000
41,3148,164,2023-06-09,2023-06-10,1,7500
42,2886,177,2023-12-21,2023-12-23,2,15000
43,3461,189,2023-10-30,2023-11-06,7,35000
44,2284,26,2023-06-07,2023-06-12,5,25000
45,1790,15,2023-11-22,2023-11-23,1,5000
46,1445,3,2023-04-25,2023-05-02,7,52500
47,525,120,2023-12-20,2023-12-27,7,70000
48,2795,149,2023-08-28,2023-09-03,6,15000
49,2203,166,2023-11-22,2023-11-24,2,5000
50,358,174,2023-11-26,2023-11-27,1,7500
51,629,199,2023-04-17,2023-04-20,3,22500
52,1014,191,2023-10-09,2023-10-13,4,30000
53,2312,58,2023-08-08,2023-08-15,7,17500
54,1522,93,2023-08-09,2023-08-16,7,24500
55,1690,138,2023-07-19,2023-07-25,6,45000
56,3156,109,2023-03-28,2023-04-03,6,21000
57,839,151,2023-10-04,2023-10-09,5,17500
58,848,102,2023-08-23,2023-08-28,5,25000
59,2273,73,2023-12-23,2023-12-30,7,24500
60,603,90,2023-08-14,2023-08-17,3,7500
61,1841,171,2023-12-08,2023-12-15,7,17500
62,1245,133,2023-04-30,2023-05-07,7,35000
63,1066,164,2023-11-13,2023-11-15,2,15000
64,2882,25,2023-06-09,2023-06-14,5,37500
65,2971,129,2023-12-12,2023-12-14,2,5000
66,948,153,2023-11-07,2023-11-13,6,45000
67,637,58,2023-10-25,2023-10-30,5,12500
68,1602,58,2023-12-23,2023-12-25,2,5000
69,1026,150,2023-07-06,2023-07-10,4,30000
70,3175,24,2023-10-23,2023-10-24,1,7500
71,3281,129,2023-12-02,2023-12-06,4,10000
72,749,105,2023-10-24,2023-10-30,6,45000
73,2871,75,2023-12-16,2023-12-20,4,40000
74,1837,154,2023-03-18,2023-03-25,7,52500
75,1482,35,2023-04-30,2023-05-04,4,14000
76,1508,16,2023-05-01,2023-05-02,1,2500
77,2291,182,2023-11-21,2023-11-28,7,35000
78,2809,11,2023-10-19,2023-10-21,2,15000
79,115,68,2023-09-02,2023-09-07,5,25000
80,2445,138,2023-05-28,2023-05-30,2,15000
81,1506,103,2023-12-08,2023-12-10,2,7000
82,2226,199,2023-11-26,2023-12-03,7,52500
83,259,7,2023-03-22,2023-03-24,2,10000
84,2209,101,2023-10-29,2023-11-05,7,17500
85,3074,127,2023-12-05,2023-12-09,4,14000
86,276,117,2023-09-05,2023-09-09,4,30000
87,1357,1,2023-07-20,2023-07-23,3,22500
88,1136,30,2023-04-13,2023-04-14,1,3500
89,439,80,2023-05-09,2023-05-10,1,3500
90,3397,128,2023-12-06,2023-12-09,3,22500
91,1133,116,2023-12-07,2023-12-12,5,12500
92,1380,164,2023-10-05,2023-10-09,4,30000
93,2740,181,2023-06-30,2023-07-02,2,7000
94,1558,66,2023-03-07,2023-03-11,4,10000
95,2432,44,2023-10-16,2023-10-23,7,35000
96,2087,29,2023-12-06,2023-12-08,2,20000
97,1621,17,2023-09-05,2023-09-12,7,70000
98,1267,73,2023-12-08,2023-12-14,6,21000
99,2609,101,2023-11-10,2023-11-14,4,10000
100,176,142,2023-06-06,2023-06-07,1,5000
101,1123,186,2023-09-20,2023-09-22,2,15000
102,2543,179,2023-01-19,2023-01-22,3,10500
103,3369,123,2023-10-25,2023-10-29,4,30000
104,140,29,2023-10-08,2023-10-14,6,60000
105,1036,99,2023-12-16,2023-12-17,1,3500
106,506,106,2023-06-18,2023-06-20,2,20000
107,3243,81,2023-06-22,2023-06-27,5,37500
108,362,137,2023-05-25,2023-05-27,2,20000
109,2057,62,2023-08-12,2023-08-17,5,25000
110,3186,153,2023-08-18,2023-08-24,6,45000
111,632,170,2023-12-15,2023-12-22,7,52500
112,2308,82,2023-12-29,2023-12-30,1,7500
113,754,185,2023-12-20,2023-12-27,7,52500
114,720,75,2023-11-14,2023-11-17,3,30000
115,2674,62,2023-09-20,2023-09-26,6,30000
116,1453,106,2023-09-27,2023-09-29,2,20000
117,2303,20,2023-03-09,2023-03-10,1,10000
118,3385,196,2023-11-07,2023-11-13,6,30000
119,1116,52,2023-11-07,2023-11-11,4,20000
120,3170,133,2023-04-06,2023-04-13,7,35000
121,557,137,2023-08-03,2023-08-04,1,10000
