room_id,room_type,room_category,price,is_available
1,Single,Standard,7500,1
2,Suite,Premium,7500,1
3,Double,Standard,7500,1
4,Suite,Premium,5000,1
5,Deluxe,Premium,2500,1
6,Double,Standard,5000,1
7,Suite,Premium,5000,1
8,Suite,Premium,7500,1
9,Suite,Premium,2500,0
10,Double,Standard,3500,1
11,Double,Standard,7500,0
12,Suite,Premium,5000,0
13,Double,Standard,2500,1
14,Double,Standard,5000,1
15,Suite,Premium,5000,1
16,Suite,Premium,2500,1
17,Double,Standard,10000,1
18,Double,Standard,7500,0
19,Single,Standard,7500,0
20,Single,Standard,10000,1
21,Suite,Premium,7500,1
22,Deluxe,Premium,5000,1
23,Suite,Premium,7500,1
24,Double,Standard,7500,1
25,Single,Standard,7500,0
26,Double,Standard,5000,1
27,Double,Standard,5000,1
28,Deluxe,Premium,5000,0
29,Double,Standard,10000,0
30,Double,Standard,3500,1
31,Suite,Premium,2500,1
32,Single,Standard,2500,1
33,Suite,Premium,2500,1
34,Deluxe,Premium,10000,1
35,Executive,Luxury,3500,1
36,Double,Standard,3500,0
37,Suite,Premium,2500,1
38,Suite,Premium,2500,1
39,Double,Standard,10000,1
40,Suite,Premium,2500,1
41,Suite,Premium,3500,0
42,Suite,Premium,10000,1
43,Double,Standard,7500,1
44,Double,Standard,5000,0
45,Suite,Premium,10000,1
46,Single,Standard,10000,1
47,Double,Standard,3500,1
48,Double,Standard,3500,0
49,Deluxe,Premium,2500,1
50,Suite,Premium,10000,1
51,Double,Standard,3500,0
52,Double,Standard,5000,0
53,Executive,Luxury,10000,1
54,Double,Standard,2500,1
55,Single,Standard,2500,1
56,Suite,Premium,3500,0
57,Double,Standard,7500,1
58,Executive,Luxury,2500,0
59,Single,Standard,7500,1
60,Double,Standard,2500,1
61,Single,Standard,2500,1
62,Double,Standard,5000,1
63,Double,Standard,10000,1
64,Single,Standard,7500,1
65,Deluxe,Premium,3500,1
66,Double,Standard,2500,1
67,Double,Standard,10000,1
68,Single,Standard,5000,1
69,Double,Standard,3500,0
70,Double,Standard,2500,1
71,Single,Standard,10000,1
